Facility/HHS Code,Facility/HHS Desc,Last Month in QTR,Triage_Category,Number of Attendances,Variation in the number of attendances (%),Patients Seen within clinically recommended times (%),Median Waiting time to treatment (minutes),Patients who did not wait for treatment (%),Patients admitted from the Emergency Department (%),Admissions to hospital within 4 hours (%),Patients whose ED stay was within 4 hours (%),Number of patients who left after treatment commenced,Percentage of patients who left after treatment commenced (%),Number of patients who did not wait for treatment
1,Mater Adult,Sep-25,1,83,15.3,100,0,0,67.5,28.6,37.3,0,0,0
1,Mater Adult,Sep-25,2,2974,0.8,43.8,13,1,41.8,20.8,34.9,102,3.4,29
1,Mater Adult,Sep-25,3,6083,8.5,64,22,2.8,39.4,23.2,35.7,236,3.9,170
1,Mater Adult,Sep-25,4,3419,-6.1,82.7,26,6.3,21.8,31.8,53.8,134,3.9,216
1,Mater Adult,Sep-25,5,571,5.9,97.1,24,15.9,6.3,50,76.9,26,4.6,91
1,Mater Adult,Sep-25,ALL,13130,2.5,65.5,21,3.9,34.1,24.2,42,498,3.8,506
4,Prince Charles,Sep-25,1,203,-11,100,0,0,70,47.9,47.8,1,0.5,0
4,Prince Charles,Sep-25,2,5049,1.4,57.1,9,0.3,57.7,39.7,43.9,124,2.5,15
4,Prince Charles,Sep-25,3,13567,0.1,44.6,38,2.7,40.4,29.6,42.4,735,5.4,372
4,Prince Charles,Sep-25,4,9075,1.1,60.9,43,5,14.7,35.4,69.7,458,5,452
4,Prince Charles,Sep-25,5,1092,5.2,79.9,46,7.9,7.5,61,79.3,61,5.6,86
4,Prince Charles,Sep-25,ALL,28986,0.7,53.5,30,3.2,34.3,33.9,52.6,1379,4.8,925
11,Princess Alexandra,Sep-25,1,863,17.7,100,1,0,92.5,53.5,53,4,0.5,0
11,Princess Alexandra,Sep-25,2,5045,1.4,61.8,7,0.9,61.5,22.5,23.2,283,5.6,46
11,Princess Alexandra,Sep-25,3,8063,1.4,55.2,26,2.7,45.6,22.8,27.4,851,10.6,215
11,Princess Alexandra,Sep-25,4,2997,4.9,72.7,33,6.3,21.5,16.7,35.2,471,15.7,189
11,Princess Alexandra,Sep-25,5,845,3,92.3,31,10.4,18.5,63.5,58.2,126,14.9,88
11,Princess Alexandra,Sep-25,ALL,17813,2.7,63.7,17,3,47,25.9,30.2,1735,9.7,538
15,Ipswich,Sep-25,1,287,18.6,100,1,0,79.8,18.8,20.9,2,0.7,0
15,Ipswich,Sep-25,2,7266,16.7,53.2,10,1.1,49.4,25.8,31.4,530,7.3,78
15,Ipswich,Sep-25,3,9469,-3.9,56,26,5,38.4,27.4,38.3,1015,10.7,477
15,Ipswich,Sep-25,4,2759,-5.9,70.4,32,8.8,20,25,51.4,307,11.1,242
15,Ipswich,Sep-25,5,297,-7.8,85,33,14.5,9.4,32.1,67.3,36,12.1,43
15,Ipswich,Sep-25,ALL,20078,2.5,57.9,17,4.2,40,26.3,37.8,1890,9.4,840
16,Redcliffe,Sep-25,1,68,6.3,100,1,0,70.6,29.2,35.3,1,1.5,0
16,Redcliffe,Sep-25,2,2708,5.7,78.7,7,0,60.5,37.5,44.4,50,1.8,1
16,Redcliffe,Sep-25,3,10152,2.2,69.6,17,2.5,42.8,26.5,37.5,805,7.9,252
16,Redcliffe,Sep-25,4,4948,-1,78.9,24,3.7,23.3,33,58.1,373,7.5,184
16,Redcliffe,Sep-25,5,652,15.2,93.5,27,8.7,7.7,50,79.4,44,6.7,57
16,Redcliffe,Sep-25,ALL,18528,2.3,74.3,16,2.7,39,30.2,45.5,1273,6.9,494
22,Queen Elizabeth II,Sep-25,1,127,-20.1,100,1,0,84.3,20.6,25.2,1,0.8,0
22,Queen Elizabeth II,Sep-25,2,3250,-6.7,80,6,0,58.1,33.1,41.6,88,2.7,0
22,Queen Elizabeth II,Sep-25,3,9260,4.1,55.1,26,1,42,24.4,33.3,1288,13.9,91
22,Queen Elizabeth II,Sep-25,4,2995,-7.8,61.6,43,3,19.8,24.2,45.8,516,17.2,89
22,Queen Elizabeth II,Sep-25,5,168,-6.7,82.2,57,8.9,7.1,33.3,73.2,37,22,15
22,Queen Elizabeth II,Sep-25,ALL,15800,-1.1,62.1,18,1.2,41.1,26.9,37.8,1930,12.2,195
28,Redland,Sep-25,1,159,12,100,0,0,67.9,13,22,3,1.9,0
28,Redland,Sep-25,2,4008,13.5,71.1,7,0.2,54.2,41.2,49.9,68,1.7,9
28,Redland,Sep-25,3,7696,4.1,66.6,16,2.3,35.3,36.8,51.5,244,3.2,179
28,Redland,Sep-25,4,3423,6.8,75.1,20,3.9,14.1,42.3,72.1,80,2.3,132
28,Redland,Sep-25,5,459,44.8,92.7,18,5,5.7,38.5,87.1,9,2,23
28,Redland,Sep-25,ALL,15745,8,70.7,12,2.2,34.9,38.6,56.3,404,2.6,343
29,Logan,Sep-25,1,512,21.3,100,0,0,80.5,26,28.9,9,1.8,0
29,Logan,Sep-25,2,11478,23,60.5,9,0.4,49.9,28.5,30.2,960,8.4,48
29,Logan,Sep-25,3,13702,8,54.9,26,3.4,38.7,29.9,36.9,1872,13.7,462
29,Logan,Sep-25,4,3849,-16.1,71,29,7.5,19.2,29.8,50,586,15.2,288
29,Logan,Sep-25,5,349,-33.4,82.2,26,13.2,8,46.4,67.9,46,13.2,46
29,Logan,Sep-25,ALL,29890,8.5,60.2,16,2.8,40.8,29.1,36.2,3473,11.6,844
30,Caboolture,Sep-25,1,98,-9.3,100,1,0,79.6,24.4,20.4,1,1,0
30,Caboolture,Sep-25,2,4086,8.2,62.8,8,0.5,44.5,20.5,29.9,219,5.4,22
30,Caboolture,Sep-25,3,10149,5.7,70.6,17,2.9,38.3,20.2,34.4,1109,10.9,298
30,Caboolture,Sep-25,4,3169,14.6,83.2,17,5.7,17.9,25.2,54.2,473,14.9,180
30,Caboolture,Sep-25,5,194,49.2,91.1,29,10.3,8.2,37.5,70.1,26,13.4,20
30,Caboolture,Sep-25,ALL,17696,8,71.3,14,2.9,36,20.8,37.3,1828,10.3,520
32,Sunshine Coast University,Sep-25,1,186,-4.1,100,0,0,78.5,49.3,46.8,4,2.2,0
32,Sunshine Coast University,Sep-25,2,5969,6.7,82.5,5,0.2,55.8,29.8,36.5,151,2.5,11
32,Sunshine Coast University,Sep-25,3,12992,6.6,69.7,15,1.5,42.7,24.1,38.5,634,4.9,197
32,Sunshine Coast University,Sep-25,4,5485,-14.8,74.7,23,4,16.8,26.5,57.8,425,7.7,221
32,Sunshine Coast University,Sep-25,5,393,-33.9,90.8,32,8.7,8.1,31.3,80.7,27,6.9,34
32,Sunshine Coast University,Sep-25,ALL,25025,0,74.4,12,1.9,39.9,26.6,43,1241,5,463
41,Beaudesert,Sep-25,1,22,144.4,100,1,0,18.2,50,59.1,0,0,0
41,Beaudesert,Sep-25,2,724,10.5,69.9,7,0.1,10.2,27,64.9,10,1.4,1
