"Estimated resident population by local government area (LGA), Queensland, 2001 to 2025p",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
LGA,Estimated resident population at 30 June,,,,,,,,,,,,,,,,,,,,,,,,
,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022r,2023r,2024r,2025p
,— number —,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Aurukun (S),"1,074","1,109","1,100","1,110","1,098","1,089","1,164","1,252","1,315","1,365","1,398","1,372","1,350","1,332","1,321","1,323","1,301","1,296","1,288","1,196","1,130","1,121","1,149","1,158","1,165"
Balonne (S),"5,473","5,336","5,174","5,000","4,878","4,754","4,760","4,786","4,813","4,833","4,862","4,787","4,776","4,726","4,610","4,461","4,394","4,372","4,389","4,392","4,378","4,343","4,335","4,345","4,350"
Banana (S),"15,534","15,328","15,136","14,959","14,913","15,026","14,883","14,880","14,941","14,855","14,812","14,852","14,948","14,860","14,707","14,570","14,573","14,525","14,581","14,587","14,657","14,770","14,909","15,040","15,144"
Barcaldine (R),"3,483","3,482","3,388","3,350","3,359","3,341","3,338","3,322","3,303","3,295","3,292","3,249","3,232","3,166","3,082","2,909","2,881","2,877","2,876","2,862","2,863","2,860","2,889","2,910","2,937"
Barcoo (S),454,437,408,404,381,370,364,371,360,360,363,348,333,317,296,272,278,288,297,302,312,313,317,315,321
Blackall-Tambo (R),"2,385","2,327","2,218","2,164","2,126","2,063","2,076","2,124","2,171","2,216","2,257","2,236","2,214","2,152","2,035","1,925","1,895","1,901","1,916","1,919","1,918","1,932","1,949","1,962","1,975"
Boulia (S),566,534,502,477,456,434,428,443,456,485,493,486,481,473,459,436,435,447,454,458,470,475,482,481,489
Brisbane (C),"885,787","908,289","930,535","949,935","967,989","987,831","1,010,222","1,033,472","1,057,692","1,073,144","1,089,879","1,111,798","1,131,996","1,149,107","1,165,437","1,184,752","1,206,960","1,226,938","1,247,133","1,263,500","1,262,968","1,281,960","1,322,202","1,353,837","1,375,301"
Bulloo (S),450,445,429,417,397,380,369,379,390,405,418,410,396,388,372,356,347,343,340,340,342,343,345,345,347
Bundaberg (R),"77,430","78,571","79,559","80,991","82,876","84,816","86,486","88,599","90,335","91,400","92,063","93,293","93,850","94,025","94,028","94,256","95,354","96,599","97,801","98,883","100,095","101,862","103,953","105,895","107,297"
Burdekin (S),"18,158","18,038","17,846","17,636","17,536","17,451","17,568","17,653","17,776","17,786","17,775","17,862","17,754","17,695","17,566","17,326","17,224","17,086","17,003","16,934","16,836","16,855","16,976","17,134","17,220"
Burke (S),490,496,501,492,506,512,532,542,543,549,557,551,506,450,396,342,362,381,399,415,430,432,438,444,449
Cairns (R),"115,373","117,266","120,286","123,392","127,336","131,843","136,251","141,403","145,962","148,943","150,992","154,041","156,764","158,574","159,944","161,573","163,806","165,716","167,149","168,710","169,250","171,646","175,010","177,573","179,334"
Carpentaria (S),"2,246","2,253","2,242","2,191","2,080","2,003","2,087","2,124","2,136","2,182","2,197","2,170","2,146","2,112","2,092","2,051","2,034","2,050","2,089","2,118","2,158","2,165","2,203","2,220","2,247"
Cassowary Coast (R),"29,536","29,447","29,438","29,337","29,124","28,603","28,706","28,739","28,761","28,718","28,636","28,880","28,950","29,038","29,098","29,287","29,442","29,536","29,564","29,608","29,511","29,572","29,942","30,365","30,666"
